"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"4356","Virolahti 2, Virolahti",22,4933,60.53002,27.6754,"http://aqicn.org/city/finland/virolahti/virolahti-2/","o3","2017-03-30 00:00:00","+03:00",-4.7,92.7,1011.6,4,NA,0.8,5,NA,22.4,2,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4357","Äänekoski Hiski, Äänekoski",52,4934,62.6017,25.73615,"http://aqicn.org/city/finland/aanekoski/aanekoski-hiski/","pm10","2017-03-30 00:00:00","+03:00",-6.35,67,1014.5,52,0.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4358","Kasarmipuisto, Kuopio",32,4935,62.8936,27.66952,"http://aqicn.org/city/finland/kuopio/kasarmipuisto/","o3","2017-03-30 00:00:00","+03:00",-6.85,62,1014,9,2.1,5.6,13,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4359","Vaasa vesitorni, Vaasa",33,4936,63.10121,21.60407,"http://aqicn.org/city/finland/vaasa/vaasa-vesitorni/","o3","2017-03-30 00:00:00","+03:00",-2.85,86,1017,2,NA,11.5,5,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4360","Oriketo, Turku",NA,4937,60.47699,22.30944,"http://aqicn.org/city/finland/turku/oriketo/","","2016-01-25 14:00:00","+02:00",-1.2,92.9,1015.1,NA,NA,30.7,NA,NA,19,2,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4361","Kaarina, Kaarina",23,4938,60.40831,22.37835,"http://aqicn.org/city/finland/kaarina/kaarina/","o3","2017-03-29 23:00:00","+03:00",1.6,76.4,1013.1,6,NA,4.2,NA,NA,23.2,6,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4362","Parainen III, Länsi-Turunmaa",NA,4939,60.30372,22.28294,"http://aqicn.org/city/finland/lansi-turunmaa/parainen-iii/","","2015-06-02 13:00:00","+0200",13.15,54,1007,11,NA,1.4,NA,NA,31,5.1,0,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4363","Raision keskusta, Raisio",23,4940,60.48225,22.1655,"http://aqicn.org/city/finland/raisio/raision-keskusta/","o3","2017-03-29 23:00:00","+03:00",1.3,64.3,1014.3,18,NA,5.5,NA,NA,23.2,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4364","Turun kauppatori, Turku",23,4941,60.45195,22.26768,"http://aqicn.org/city/finland/turku/turun-kauppatori/","o3","2017-03-29 23:00:00","+03:00",1.6,76.4,1013.1,19,NA,8.7,NA,NA,23.2,6,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4365","Saimaankatu, Lahti",30,4942,25.66579,60.99129,"http://aqicn.org/city/finland/lahti/saimaankatu/","o3","2017-03-29 23:00:00","+03:00",-0.8,75.4,1014.9,21,NA,3.5,27,NA,29.8,3,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4366","Laune, Lahti",87,4943,60.96704,25.65489,"http://aqicn.org/city/finland/lahti/laune/","pm10","2017-03-30 00:00:00","+03:00",0.7,74.6,1015.3,87,NA,2.2,NA,NA,29.8,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4367","Mansikkala, Imatra",7,4944,61.18892,28.77012,"http://aqicn.org/city/finland/imatra/mansikkala/","pm10","2017-03-29 13:00:00","+03:00",1.4,57.9,1010.6,7,1.1,2.3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4368","Rautionkylä, Imatra",7,4945,61.23807,28.87369,"http://aqicn.org/city/finland/imatra/rautionkyla/","pm10","2017-03-29 13:00:00","+03:00",-0.85,42,1012,7,0.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4369","Joutsenon keskusta, Lappeenranta",61,4946,61.11709,28.49849,"http://aqicn.org/city/finland/lappeenranta/joutsenon-keskusta/","pm10","2017-03-29 13:00:00","+03:00",1.4,57.9,1010.6,61,1.1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4370","Pulp, Lappeenranta",61,4947,61.12536,28.45078,"http://aqicn.org/city/finland/lappeenranta/pulp/","pm10","2017-03-29 13:00:00","+03:00",1.4,57.9,1010.6,61,0.6,NA,17,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4371","Teppanala, Imatra",5,4949,61.15304,28.81014,"http://aqicn.org/city/finland/imatra/teppanala/","pm25","2017-03-29 12:00:00","+03:00",1.4,57.9,1010.6,13,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4372","Koskikatu 1, Joensuu",47,4950,62.59909,29.7634,"http://aqicn.org/city/finland/joensuu/koskikatu-1/","pm25","2017-03-30 00:00:00","+03:00",-5.85,57,1012,20,NA,3.7,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4373","Matorova, Kittilä",31,4951,68.00049,24.24566,"http://aqicn.org/city/finland/kittila/matorova/","o3","2017-03-29 23:00:00","+03:00",-14.79,84,1011,11,0.3,0.4,7,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4374","Keskusta, Pitkänsillankatu, Kokkola",NA,4952,63.83764,23.1316,"http://aqicn.org/city/finland/kokkola/keskusta--pitkansillankatu/","","","+0200",-3.22,94,997.4,NA,NA,NA,NA,NA,NA,1.62,0,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4375","Tasavallankatu, Kuopio",32,4953,62.88205,27.66197,"http://aqicn.org/city/finland/kuopio/tasavallankatu/","o3","2017-03-30 00:00:00","+03:00",-6.85,62,1014,9,2.1,3.7,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4376","Lappeenrannan keskusta 4, Lappeenranta",48,4954,61.05576,28.18431,"http://aqicn.org/city/finland/lappeenranta/lappeenrannan-keskusta-4/","pm10","2017-03-29 13:00:00","+03:00",1.4,57.9,1010.6,48,NA,4.2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4377","Nahkurintori 2, Lohja",55,4955,60.25145,24.06287,"http://aqicn.org/city/finland/lohja/nahkurintori-2/","pm25","2017-03-30 00:00:00","+03:00",1.3,64.3,1014.3,14,NA,0.6,55,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4378","Pääterveysasema, Varkaus",33,4956,62.32958,27.88931,"http://aqicn.org/city/finland/varkaus/paaterveysasema/","pm10","2017-03-30 00:00:00","+03:00",-8.35,72.5,1013,33,NA,0.7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4379","Heinolan keskusta, Heinola",NA,4957,61.20313,26.03319,"http://aqicn.org/city/finland/heinola/heinolan-keskusta/","","2016-01-27 13:00:00","+02:00",3.5,93.8,994.2,3,NA,4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4380","Hyvinkää, Hyvinkää",NA,4958,60.63273,24.86124,"http://aqicn.org/city/finland/hyvinkaa/hyvinkaa/","","","+0200",3.03,74,991.56,NA,NA,NA,NA,NA,NA,2.57,0,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
"4381","Niittykatu, Hämeenlinna",14,4959,60.99934,24.45538,"http://aqicn.org/city/finland/hameenlinna/niittykatu/","pm10","2017-03-30 00:00:00","+03:00",0.8,58.1,1012.7,14,NA,4,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2017-03-29 22:53:55
