"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","pol","uvi","mepaqi","pm1","time_estern"
"398","Badaling Northwest",80,470,40.365,115.988,"http://aqicn.org/city/beijing/jingxibeibadaling/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,40,6.6,15.1,80,6.4,21.2,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"399","Donggaocun Zhen, Pinggu",57,472,40.1,117.12,"http://aqicn.org/city/beijing/jingdongdonggaocun/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,16,1.6,6,57,1.9,17.9,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"400","Yongledianzhen, Tongzhou",104,473,39.712,116.783,"http://aqicn.org/city/beijing/jingdongnanyongledian/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,66,4.6,35.7,104,8.2,5.3,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"401","Yufazhen, Daxing",80,474,39.52,116.3,"http://aqicn.org/city/beijing/jingnanyufa/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,34,2.1,21.1,80,9.1,7.8,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"402","Liulihezhen, Fangshan",114,475,39.58,116,"http://aqicn.org/city/beijing/jingxinanliulihe/","pm25","2017-03-27 07:00:00","+08:00",9,62,1021,104,4.1,30.2,114,9.1,0.9,0.9,NA,40,2,NA,NA,NA,NA,2017-03-27 00:41:11
"403","Qianmen E St, Dongcheng",85,476,39.899,116.395,"http://aqicn.org/city/beijing/qianmendongdajie/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,26,3.1,38,85,5.5,17.5,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"404","Yongdingmen Inner St",68,477,39.876,116.394,"http://aqicn.org/city/beijing/yongdingmennadajie/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,36,2.6,31.1,68,5.5,9.8,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"405","Xizhimen N St",65,478,39.954,116.349,"http://aqicn.org/city/beijing/xizhimenbeidajie/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,37,5.1,40.3,65,8.2,10.2,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"406","South Ring Road",76,479,39.856,116.368,"http://aqicn.org/city/beijing/nansanhuanxilu/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,44,5.6,33,76,7.3,6.5,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"407","East Fourth Ring Road",55,480,39.939,116.483,"http://aqicn.org/city/beijing/dongsihuanbeilu/","pm25","2017-03-27 08:00:00","+08:00",6,46,1024,15,2.1,14.2,55,3.7,24,1.8,NA,360,-5,NA,NA,NA,NA,2017-03-27 00:41:11
"408","Putuo",177,481,31.234814,121.410728,"http://aqicn.org/city/shanghai/putuojiancezhan/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,106,15.8,48.5,177,12.7,7.4,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"409","Yangpu Sipiao",171,482,31.2659,121.536,"http://aqicn.org/city/shanghai/yangpusipiao/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,83,15.2,38.9,171,12.7,16.3,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"410","Shanghai Normal College Primary Division",176,483,31.201014,121.483231,"http://aqicn.org/city/shanghai/luwanshizhuanfuxiao/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,88,14.2,48,176,11.8,8.2,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"411","Dianshan Lake",160,484,31.0935,120.978,"http://aqicn.org/city/shanghai/qingpudianshanhu/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,73,13.2,36.6,160,10,8.2,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"412","Hongkou Liangcheng",171,485,31.3008,121.467,"http://aqicn.org/city/shanghai/hongkouliangcheng/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,83,15.2,46.2,171,15.4,6.5,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"413","Jingan",175,486,31.2261,121.425,"http://aqicn.org/city/shanghai/jinganjiancezhan/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,93,14.2,50.9,175,10.9,8.2,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"414","Shanghai Normal University",175,487,31.1654,121.412,"http://aqicn.org/city/shanghai/xuhuishangshida/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,94,16.8,46.7,175,11.8,8.2,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"415","Chuansha",173,488,31.1907,121.703,"http://aqicn.org/city/shanghai/pudongchuansha/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,113,13.7,52.5,173,15.4,3.7,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"416","Zhangjiang",177,489,31.2071,121.577,"http://aqicn.org/city/shanghai/pudongzhangjiang/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,111,13.7,48.9,177,15.4,6.1,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"417","Lingshan Road",163,490,31.2284,121.533,"http://aqicn.org/city/shanghai/pudongjiancezhan/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,73,10.7,43,163,13.6,13.5,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"418","City average",173,491,31.230393,121.473704,"http://aqicn.org/city/shanghai/quanshipingjun/","pm25","2017-03-27 08:00:00","+08:00",13,63,1026,94,14.4,47,173,13.6,8.7,1.8,NA,240,6,NA,NA,NA,NA,2017-03-27 00:41:11
"419","Shenyang US Consulate",NA,496,41.7832349,123.4267266,"http://aqicn.org/city/shenyang/usconsulate/","","2017-01-16 20:00:00","+0800",-11,62,1031,76,80.6,38.9,NA,10.9,0.9,1.8,NA,10,-17,NA,NA,NA,NA,2017-03-27 00:41:11
"420","City Monitoring Station, Jinan",147,497,36.66222222,117.0486111,"http://aqicn.org/city/shandong/jinan/shijiancezhan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,89,10.7,36.6,147,6.2,8.6,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"421","Shandong Institute of Economics, Jinan",85,498,36.63777778,117.0688889,"http://aqicn.org/city/shandong/jinan/shandongjingjixueyuan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,62,10.2,19.2,85,3.6,24.8,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"422","Quancheng Plaza, Jinan",85,499,36.66138889,117.0211111,"http://aqicn.org/city/shandong/jinan/quanchengguangchang/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,71,7.1,17.9,85,2.5,11.8,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"423","Kegansuo, Jinan",139,500,36.61138889,116.9880556,"http://aqicn.org/city/shandong/jinan/kegansuo/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,102,10.2,39.8,139,7.2,33.8,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"424","Shāndōng lǔnéng, Jinan",93,501,36.59277778,117.0241667,"http://aqicn.org/city/shandong/jinan/shandonglunen/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,78,9.7,9.6,93,3,21.6,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"425","Agriculture Science Institute, Jinan",104,502,36.663,116.945,"http://aqicn.org/city/shandong/jinan/nongkesuo/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,81,6.6,33.9,104,6.7,3.3,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"426","Jīchuáng èr chǎng, Jinan",124,503,36.64088889,116.9427778,"http://aqicn.org/city/shandong/jinan/jichuangerchang/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,92,11.2,42.5,124,8.7,9.8,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"427","Lanxiang technical school, Jinan",117,504,36.70027778,116.9477778,"http://aqicn.org/city/shandong/jinan/lanxiangjixiao/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,84,19.8,36.2,117,8.4,5.7,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"428","Chemical factory, Jinan",97,505,36.68722222,116.9886111,"http://aqicn.org/city/shandong/jinan/huagongchang/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,79,10.7,35.7,97,8.2,4.1,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"429","Provincial Seed Warehouse, Jinan",149,506,36.68527778,117.0602778,"http://aqicn.org/city/shandong/jinan/shengzhongzicangku/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,95,12.7,33.9,149,10.4,5.7,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"430","Shandong Architecture University, Jinan",104,507,36.68138889,117.1858333,"http://aqicn.org/city/shandong/jinan/shandongjianzhudaxue/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,59,15.8,34.3,104,6.5,6.1,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"431","Baosheng cable company, Jinan",2,508,36.72256667,117.1247222,"http://aqicn.org/city/shandong/jinan/baoshengdianlan/","o3","2017-03-27 08:00:00","+08:00",2,81,1021,81,13.2,30.7,153,6.7,2.1,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"432","Paomaling, Jinan",76,509,36.4785,117.2130556,"http://aqicn.org/city/shandong/jinan/paomaling/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,37,6.1,4.6,76,3,35.4,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"433","Changqing District Communist Party School, Jinan",99,510,36.54861111,116.7651667,"http://aqicn.org/city/shandong/jinan/changqingquweidangxiao/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,53,10.7,32.5,99,4.6,8.2,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"434","BDA, Jinan",129,511,36.68538889,117.1247222,"http://aqicn.org/city/shandong/jinan/kaifaqu/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,103,16.3,36.2,129,6.4,7.4,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"435","Shinan district No. 1, Qingdao",NA,512,36.06525,120.403259,"http://aqicn.org/city/shandong/qingdao/shinanqu1hao/","","2016-02-07 11:00:00","+0800",1,38,1020,53,26.4,11.5,72,8.1,17,4,NA,170,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"436","Tuán dǎo, Qingdao",NA,513,36.054169,120.294134,"http://aqicn.org/city/shandong/qingdao/tuandao/","","2016-02-07 11:00:00","+0800",1,38,1020,62,23.9,11,91,8.8,38,4,NA,170,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"437","Shibei district No. 1, Qingdao",NA,514,36.069711,120.336184,"http://aqicn.org/city/shandong/qingdao/shibeiqu1hao/","","2016-02-07 11:00:00","+0800",1,38,1020,44,18.8,16,80,6,23,4,NA,170,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"438","Shibei district No. 2, Qingdao",NA,515,36.103886,120.36125,"http://aqicn.org/city/shandong/qingdao/shibeiqu2hao/","","2016-02-07 11:00:00","+0800",1,38,1020,55,26.9,11.5,95,8.6,25,4,NA,170,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"439","Huangdao District No. 1, Qingdao",NA,516,35.958797,120.185909,"http://aqicn.org/city/shandong/qingdao/huangdaoqu1hao/","","2016-02-07 11:00:00","+0800",1,38,1020,61,21.3,3.2,114,7.3,15,4,NA,170,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"440","Huangdao District No. 2, Qingdao",78,517,35.970289,120.155109,"http://aqicn.org/city/shandong/qingdao/huangdaoqu2hao/","pm25","2017-03-27 08:00:00","+08:00",6,70,1022,50,4.1,22.4,78,6.1,20.4,1.8,NA,200,1,NA,NA,NA,NA,2017-03-27 00:41:11
"441","Laoshan District No. 1, Qingdao",NA,518,36.085636,120.446784,"http://aqicn.org/city/shandong/qingdao/laoshanqu1hao/","","2016-02-07 10:00:00","+0800",5,29,1020,67,14.2,12.4,82,11.1,24,4,NA,190,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"442","Yǎng kǒu, Qingdao",78,519,36.240156,120.660697,"http://aqicn.org/city/shandong/qingdao/yangkou/","pm25","2017-03-27 08:00:00","+08:00",6,70,1022,29,6.6,8.7,78,5.7,35,1.8,NA,200,1,NA,NA,NA,NA,2017-03-27 00:41:11
"443","Laoshan District No. 2, Qingdao",119,520,36.090925,120.48547,"http://aqicn.org/city/shandong/qingdao/laoshanqu2hao/","pm25","2017-03-27 08:00:00","+08:00",6,70,1022,58,11.2,27.5,119,7.9,11.4,1.8,NA,200,1,NA,NA,NA,NA,2017-03-27 00:41:11
"444","Licang District No. 1, Qingdao",NA,521,36.18457,120.380186,"http://aqicn.org/city/shandong/qingdao/licangqu1hao/","","2016-02-07 11:00:00","+0800",1,38,1020,52,24.9,13.8,99,6.5,23,4,NA,170,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"445","Licang District No. 2, Qingdao",142,522,36.154078,120.427178,"http://aqicn.org/city/shandong/qingdao/licangqu2hao/","pm25","2017-03-27 08:00:00","+08:00",6,70,1022,61,8.2,29.8,142,10.3,9,1.8,NA,200,1,NA,NA,NA,NA,2017-03-27 00:41:11
"446","Chengyang District No. 1, Qingdao",NA,523,36.308156,120.39492,"http://aqicn.org/city/shandong/qingdao/chengyangqu1hao/","","2016-02-07 10:00:00","+0800",5,29,1020,80,34,26.6,91,10.4,16,4,NA,190,-12,NA,NA,NA,NA,2017-03-27 00:41:11
"447","Chengyang District No. 2, Qingdao",87,524,36.308156,120.460772,"http://aqicn.org/city/shandong/qingdao/chengyangqu2hao/","pm25","2017-03-27 08:00:00","+08:00",6,70,1022,51,2.6,13.3,87,5.5,13.5,1.8,NA,200,1,NA,NA,NA,NA,2017-03-27 00:41:11
"448","Zichuan Meteo. Stations, Zibo",142,525,36.63777778,117.9544444,"http://aqicn.org/city/shandong/zibo/zichuanqixiangzhan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,83,49.7,34.3,142,9,15.1,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
"449","Fènghuáng shān, Zibo",102,526,36.66555556,117.9233333,"http://aqicn.org/city/shandong/zibo/fenghuangshan/","pm25","2017-03-27 08:00:00","+08:00",2,81,1021,62,19.3,25.2,102,12.7,12.6,0.9,NA,190,-1,NA,NA,NA,NA,2017-03-27 00:41:11
