"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","time_estern","uvi","mepaqi","pm1","time_estern"
"19","North Bay, Ontario",34,19,"46.323194","-79.449278","http://aqicn.org/city/canada/ontario/north-bay/","pm25","2017-03-24 13:00:00","-05:00",-0.85,92,1014,NA,NA,5.6,34,NA,28.9,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"20","Oakville, Ontario",57,20,"43.486917","-79.702278","http://aqicn.org/city/canada/ontario/oakville/","pm25","2017-03-24 13:00:00","-05:00",11.27,76,1016,NA,NA,13,57,NA,20.8,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"21","Oshawa, Ontario",42,21,"43.945944","-78.894917","http://aqicn.org/city/canada/ontario/oshawa/","pm25","2017-03-24 12:00:00","-05:00",3.54,93,1016,NA,NA,10.2,42,NA,25.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"22","Ottawa Central, Ontario",42,22,"45.382528","-75.714194","http://aqicn.org/city/canada/ontario/ottawa-central/","pm25","2017-03-24 13:00:00","-05:00",-1.65333333333333,92,1019.33333333333,NA,NA,7.5,42,NA,28.9,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"23","Ottawa Downtown, Ontario",38,23,"45.434333","-75.676","http://aqicn.org/city/canada/ontario/ottawa-downtown/","pm25","2017-03-24 13:00:00","-05:00",-1.65333333333333,92,1019.33333333333,NA,1.5,10.2,38,2.8,28.9,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"24","Parry Sound, Ontario",38,24,"45.337861","-80.038167","http://aqicn.org/city/canada/ontario/parry-sound/","pm25","2017-03-24 13:00:00","-05:00",3.42,100,995.83,NA,NA,6.5,38,NA,23.3,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"25","Petawawa, Ontario",34,25,"-77.441194","45.996722","http://aqicn.org/city/canada/ontario/petawawa/","o3","2017-03-24 13:00:00","-05:00",-0.85,100,1017,NA,NA,NA,30,NA,33.6,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"26","Peterborough, Ontario",59,26,"44.301917","-78.346222","http://aqicn.org/city/canada/ontario/peterborough/","pm25","2017-03-24 13:00:00","-05:00",3.78,93,1015,NA,NA,10.2,59,NA,24.1,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"27","Port Stanley, Ontario",65,27,"42.672083","-81.162889","http://aqicn.org/city/canada/ontario/port-stanley/","pm25","2017-03-24 13:00:00","-05:00",11.3,76,1015,NA,NA,2.8,65,NA,36.1,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"28","Sarnia, Ontario",59,28,"-82.405083","42.982278","http://aqicn.org/city/canada/ontario/sarnia/","pm25","2017-03-24 13:00:00","-05:00",15.15,54,1015,NA,2.9,9.3,59,NA,26.4,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"29","Sault Ste Marie, Ontario",38,29,"46.533194","-84.309917","http://aqicn.org/city/canada/ontario/sault-ste-marie/","pm25","2017-03-24 13:00:00","-05:00",0.82,90,1016,NA,1.5,7.5,38,NA,19.2,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
"30","St. Catharines, Ontario",46,30,"43.160056","-79.23475","http://aqicn.org/city/canada/ontario/st.-catharines/","pm25","2017-03-24 13:00:00","-05:00",11.91,66,1016,NA,NA,6.5,46,NA,32,NA,NA,NA,NA,2017-03-24 14:08:03,NA,NA,NA,2017-03-24 22:01:19
