"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"1","Cornwall, Ontario",57,6,45.017972,-74.735222,"http://aqicn.org/city/canada/ontario/cornwall/","pm25","2017-03-27 11:00:00","-05:00",2.15,93,1015,NA,NA,12.1,57,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"2","Dorset, Ontario",17,7,45.224278,-78.932944,"http://aqicn.org/city/canada/ontario/dorset/","o3","2017-03-27 11:00:00","-05:00",5.15,100,1011,NA,NA,NA,13,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"3","Grand Bend, Ontario",38,8,43.333083,-81.742889,"http://aqicn.org/city/canada/ontario/grand-bend/","pm25","2017-03-27 11:00:00","-05:00",11.19,100,1013,NA,NA,4.7,38,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"4","Guelph, Ontario",18,9,43.551611,-80.264167,"http://aqicn.org/city/canada/ontario/guelph/","o3","2017-03-27 11:00:00","-05:00",7.49,100,1011,NA,NA,9.3,30,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"5","Hamilton Downtown, Ontario",76,10,43.257778,-79.861667,"http://aqicn.org/city/canada/ontario/hamilton-downtown/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,4.3,44.5,76,6.3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6","Hamilton Mountain, Ontario",34,11,43.229417,-79.862778,"http://aqicn.org/city/canada/ontario/hamilton-mountain/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,1.5,4.7,34,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"7","Hamilton West, Ontario",61,12,43.257444,-79.90775,"http://aqicn.org/city/canada/ontario/hamilton-west/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,NA,26,61,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"8","Kingston, Ontario",27,13,44.219722,-76.521111,"http://aqicn.org/city/canada/ontario/kingston/","o3","2017-03-27 11:00:00","-05:00",4.56,93,1013,NA,NA,2.8,17,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"9","Kitchener, Ontario",38,14,43.443833,-80.503806,"http://aqicn.org/city/canada/ontario/kitchener/","pm25","2017-03-27 11:00:00","-05:00",10.49,93,1025,NA,NA,6.5,38,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"10","London, Ontario",53,15,42.97446,-81.200858,"http://aqicn.org/city/canada/ontario/london/","pm25","2017-03-27 11:00:00","-05:00",10.49,93,1025,NA,NA,6.5,53,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"11","Mississauga, Ontario",80,16,43.54697,-79.65869,"http://aqicn.org/city/canada/ontario/mississauga/","pm25","2017-03-27 11:00:00","-05:00",7.49,100,1011,NA,NA,19.5,80,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"12","Morrisburg, Ontario",NA,17,44.89975,-75.189944,"http://aqicn.org/city/canada/ontario/morrisburg/","","","-0500",21.15,88,1009,NA,NA,NA,NA,NA,NA,2.6,0,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"13","Newmarket, Ontario",57,18,44.044306,-79.48325,"http://aqicn.org/city/canada/ontario/newmarket/","pm25","2017-03-27 03:00:00","-05:00",5.66,96.5,1012.5,NA,NA,4.7,57,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"14","North Bay, Ontario",30,19,46.323194,-79.449278,"http://aqicn.org/city/canada/ontario/north-bay/","pm25","2017-03-27 11:00:00","-05:00",1.15,97,1009,NA,NA,7.5,30,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"15","Oakville, Ontario",104,20,43.486917,-79.702278,"http://aqicn.org/city/canada/ontario/oakville/","pm25","2017-03-27 11:00:00","-05:00",10.47,100,1012,NA,NA,25.1,104,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"16","Oshawa, Ontario",38,21,43.945944,-78.894917,"http://aqicn.org/city/canada/ontario/oshawa/","pm25","2017-03-27 11:00:00","-05:00",8.14,100,1012,NA,NA,13,38,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"17","Ottawa Central, Ontario",23,22,45.382528,-75.714194,"http://aqicn.org/city/canada/ontario/ottawa-central/","o3","2017-03-27 11:00:00","-05:00",0.65,100,1015,NA,NA,6.5,17,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"18","Ottawa Downtown, Ontario",22,23,45.434333,-75.676,"http://aqicn.org/city/canada/ontario/ottawa-downtown/","o3","2017-03-27 11:00:00","-05:00",0.65,100,1015,NA,1.5,12.1,21,3.2,21.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"19","Parry Sound, Ontario",18,24,45.337861,-80.038167,"http://aqicn.org/city/canada/ontario/parry-sound/","o3","2017-03-27 11:00:00","-05:00",9.23,98,989.89,NA,NA,1.9,9,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"20","Petawawa, Ontario",26,25,45.996722,-77.441194,"http://aqicn.org/city/canada/ontario/petawawa/","o3","2017-03-27 11:00:00","-05:00",1.15,100,1013,NA,NA,NA,25,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"21","Peterborough, Ontario",21,26,44.301917,-78.346222,"http://aqicn.org/city/canada/ontario/peterborough/","pm25","2017-03-27 11:00:00","-05:00",6.79,100,1011,NA,NA,13,21,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"22","Port Stanley, Ontario",26,27,42.672083,-81.162889,"http://aqicn.org/city/canada/ontario/port-stanley/","o3","2017-03-27 11:00:00","-05:00",10.49,93,1025,NA,NA,1.9,17,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"23","Sarnia, Ontario",50,28,42.982278,-82.405083,"http://aqicn.org/city/canada/ontario/sarnia/","pm25","2017-03-27 11:00:00","-05:00",11.19,100,1013,NA,1.5,13.9,50,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"24","Sault Ste Marie, Ontario",17,29,46.533194,-84.309917,"http://aqicn.org/city/canada/ontario/sault-ste-marie/","o3","2017-03-27 11:00:00","-05:00",1.5,100,1012,NA,1.5,5.6,13,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"25","St. Catharines, Ontario",21,30,43.160056,-79.23475,"http://aqicn.org/city/canada/ontario/st.-catharines/","o3","2017-03-27 11:00:00","-05:00",11.15,81,1012,NA,NA,5.6,17,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"26","Sudbury, Ontario",18,31,46.49194,-81.003105,"http://aqicn.org/city/canada/ontario/sudbury/","o3","2017-03-27 12:00:00","-05:00",0.15,100,1010,NA,10,8.4,13,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"27","Thunder Bay, Ontario",21,32,48.379389,-89.290167,"http://aqicn.org/city/canada/ontario/thunder-bay/","pm25","2017-03-27 11:00:00","-05:00",1.15,100,989.44,NA,NA,7.5,21,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"28","Tiverton, Ontario",17,33,44.314472,-81.549722,"http://aqicn.org/city/canada/ontario/tiverton/","pm25","2017-03-27 12:00:00","-05:00",7.15,100,1011,NA,NA,3.8,17,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"29","Toronto Downtown, Ontario",68,34,43.662972,-79.388111,"http://aqicn.org/city/canada/ontario/toronto-downtown/","pm25","2017-03-27 11:00:00","-05:00",8.14,100,1012,NA,NA,22.3,68,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"30","Toronto East, Ontario",53,35,43.747917,-79.274056,"http://aqicn.org/city/canada/ontario/toronto-east/","pm25","2017-03-27 11:00:00","-05:00",8.14,100,1012,NA,NA,25.1,53,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"31","Toronto North, Ontario",53,36,43.781611,-79.417722,"http://aqicn.org/city/canada/ontario/toronto-north/","pm25","2017-03-27 11:00:00","-05:00",8.14,100,1012,NA,1.5,23.2,53,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"32","Toronto West, Ontario",59,37,43.709444,-79.5435,"http://aqicn.org/city/canada/ontario/toronto-west/","pm25","2017-03-27 11:00:00","-05:00",7.49,100,1011,NA,1.5,19.5,59,4,8.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"33","Windsor Downtown, Ontario",30,38,42.315778,-83.043667,"http://aqicn.org/city/canada/ontario/windsor-downtown/","pm25","2017-03-27 11:00:00","-05:00",12.74,87,1014,NA,5.8,9.3,30,3.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"34","Windsor West, Ontario",42,39,42.292889,-83.073139,"http://aqicn.org/city/canada/ontario/windsor-west/","pm25","2017-03-27 11:00:00","-05:00",12.74,87,1014,NA,1.5,10.2,42,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"35","Inuvik, NorthWestTerritories",74,40,68.356994,-133.714063,"http://aqicn.org/city/canada/northwestterritories/inuvik/","pm25","2017-03-27 10:00:00","-05:00",-26.85,75,1021,NA,1.2,28.6,74,9.9,2.6,1.26,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"36","Norman Wells, NorthWestTerritories",40,41,65.279676,-126.812887,"http://aqicn.org/city/canada/northwestterritories/norman-wells/","pm10","2017-03-27 10:00:00","-05:00",-26.85,75,1021,40,0.8,11.6,NA,NA,10.5,1.26,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"37","Yellowknife, NorthWestTerritories",25,42,62.452084,-114.364031,"http://aqicn.org/city/canada/northwestterritories/yellowknife/","pm25","2017-03-27 10:00:00","-05:00",-9.85,78,1016,10,1.2,11.8,25,2.2,22.4,4.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"38","White Plains, New York",26,58,41.0522,-73.7642,"http://aqicn.org/city/usa/newyork/white-plains/","o3","2017-03-27 09:00:00","-04:00",6,96,1019,NA,NA,NA,3,NA,26.4,1.8,NA,30,5,NA,NA,NA,NA,2017-03-27 17:10:11
"39","The City College of New York",33,59,40.8197,-73.9481,"http://aqicn.org/city/usa/newyork/ccny/","pm25","2017-03-27 09:00:00","-04:00",6,96,1019,NA,NA,27.6,33,4.5,4.8,1.8,NA,30,5,NA,NA,NA,NA,2017-03-27 17:10:11
"40","Intermediate School 74, New York",12,60,40.814701,-73.886703,"http://aqicn.org/city/usa/newyork/is-74/","pm25","2017-03-27 09:00:00","-04:00",4,100,1019,NA,NA,27.6,12,3.4,NA,1.8,NA,30,4,NA,NA,NA,NA,2017-03-27 17:10:11
"41","Public School 314, New York",61,61,40.641819,-74.018707,"http://aqicn.org/city/usa/newyork/ps-314/","pm25","2017-03-27 09:00:00","-04:00",4,100,1019,NA,NA,NA,61,NA,11.2,1.8,NA,30,4,NA,NA,NA,NA,2017-03-27 17:10:11
"42","Maspeth, New York",17,62,40.7269,-73.8933,"http://aqicn.org/city/usa/newyork/maspeth/","pm25","2017-03-27 09:00:00","-04:00",4,100,1019,NA,NA,27.6,17,4.5,NA,1.8,NA,30,4,NA,NA,NA,NA,2017-03-27 17:10:11
"43","Eisenhower Park, New York",15,63,40.7447,-73.5869,"http://aqicn.org/city/usa/newyork/eisenhower-park/","pm25","2017-03-27 09:00:00","-04:00",4,100,1019,NA,NA,NA,15,NA,20,1.8,NA,30,4,NA,NA,NA,NA,2017-03-27 17:10:11
"44","Intermediate School 143, New York",50,64,40.8492,-73.9319,"http://aqicn.org/city/usa/newyork/is-143/","pm25","2017-03-27 10:00:00","-04:00",6,96,1019,NA,NA,27.6,50,3.4,6.4,1.8,NA,30,5,NA,NA,NA,NA,2017-03-27 17:10:11
"45","Fresh Kills West, New York",10,65,40.5802,-74.1994,"http://aqicn.org/city/usa/newyork/fresh-kills-west/","pm25","2017-03-27 08:00:00","-04:00",4,100,1019,NA,NA,NA,10,NA,11.2,1.8,NA,30,4,NA,NA,NA,NA,2017-03-27 17:10:11
"46","Albany, Oregon",11,67,44.61569,-123.091457,"http://aqicn.org/city/usa/oregon/albany/","pm25","2017-03-27 09:00:00","-08:00",7.44,93,1019,9,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"47","Applegate Valley, Oregon",11,68,42.290094,-123.2321,"http://aqicn.org/city/usa/oregon/applegate-valley/","pm25","2017-03-27 09:00:00","-08:00",2.01,93,1021,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"48","Baker City, Oregon",9,69,44.78822,-117.8446,"http://aqicn.org/city/usa/oregon/baker-city/","pm10","2017-03-27 09:00:00","-08:00",3.63,75,1016,9,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"49","Beaverton, Oregon",15,70,45.4702,-122.8159,"http://aqicn.org/city/usa/oregon/beaverton/","o3","2017-03-27 09:00:00","-08:00",7.44,93,1019,8,1.5,17.6,9,3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"50","Bend, Oregon",11,71,44.063916,-121.312554,"http://aqicn.org/city/usa/oregon/bend/","pm10","2017-03-27 09:00:00","-08:00",1,86,26.14,11,NA,NA,8,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"51","Burns, Oregon",16,72,43.58925,-119.048302,"http://aqicn.org/city/usa/oregon/burns/","pm25","2017-03-27 09:00:00","-08:00",4.4,93,25.8,13,NA,NA,16,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"52","Cave Junction, Oregon",17,73,42.1617,-123.64835,"http://aqicn.org/city/usa/oregon/cave-junction/","pm25","2017-03-27 09:00:00","-08:00",5.69,100,1019,13,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"53","Corvallis, Oregon",9,74,44.5884,-123.2673,"http://aqicn.org/city/usa/oregon/corvallis/","pm25","2017-03-27 09:00:00","-08:00",7.52,87,1018,8,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"54","Enterprise, Oregon",11,75,45.426351,-117.296066,"http://aqicn.org/city/usa/oregon/enterprise/","pm10","2017-03-27 09:00:00","-08:00",6.15,75,1016,11,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"55","Grants Pass, Oregon",26,76,42.434149,-123.348466,"http://aqicn.org/city/usa/oregon/grants-pass/","pm25","2017-03-27 09:00:00","-08:00",6.6,99,29.18,15,NA,NA,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"56","Hillsboro, Oregon",8,78,45.528501,-122.972398,"http://aqicn.org/city/usa/oregon/hillsboro/","pm25","2017-03-27 09:00:00","-08:00",7.6,87,1018,8,1.5,18.7,8,3,11.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"57","John Day, Oregon",37,79,44.417999,-118.951302,"http://aqicn.org/city/usa/oregon/john-day/","pm25","2017-03-27 09:00:00","-08:00",3.15,93,1017,26,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"58","Klamath Falls, Oregon",12,80,42.190296,-121.731369,"http://aqicn.org/city/usa/oregon/klamath-falls/","pm25","2017-03-27 09:00:00","-08:00",1.4,78,25.86,11,NA,NA,12,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"59","La Grande, Oregon",14,81,45.339,-118.095206,"http://aqicn.org/city/usa/oregon/la-grande/","pm10","2017-03-27 09:00:00","-08:00",6,77,27.11,14,NA,NA,9,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"60","Lakeview, Oregon",13,82,42.189215,-120.353969,"http://aqicn.org/city/usa/oregon/lakeview/","pm25","2017-03-27 09:00:00","-08:00",0.3,100,25.23,10,NA,NA,13,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"61","Medford, Oregon",26,84,42.31411,-122.87923,"http://aqicn.org/city/usa/oregon/medford/","pm25","2017-03-27 09:00:00","-08:00",28.33,100,1022.07,16,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"62","Pendleton, Oregon",10,85,45.652231,-118.823033,"http://aqicn.org/city/usa/oregon/pendleton/","pm25","2017-03-27 09:00:00","-08:00",5.81,75,28.94,10,NA,NA,10,NA,28,1.1,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"63","Portland, Oregon",9,86,45.496641,-122.602877,"http://aqicn.org/city/usa/oregon/portland/","pm25","2017-03-27 08:00:00","-08:00",6.7,NA,29.81,8,1.5,5.1,9,3,0.1,2.8,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"64","Prineville, Oregon",49,87,44.299787,-120.844773,"http://aqicn.org/city/usa/oregon/prineville/","pm25","2017-03-27 08:00:00","-08:00",1.7,99,27.05,25,NA,NA,49,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"65","Roseburg, Oregon",13,88,43.2266,-123.36479,"http://aqicn.org/city/usa/oregon/roseburg/","pm25","2017-03-27 09:00:00","-08:00",3.68,99,1019,12,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"66","Salem, Oregon",15,89,44.943114,-123.005934,"http://aqicn.org/city/usa/oregon/salem/","o3","2017-03-27 09:00:00","-08:00",7.44,93,1019,9,NA,NA,12,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"67","Shady Cove, Oregon",12,90,42.623225,-122.810158,"http://aqicn.org/city/usa/oregon/shady-cove/","pm25","2017-03-27 09:00:00","-08:00",3.68,99,1019,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"68","Sisters, Oregon",NA,92,44.2921,-121.5555,"http://aqicn.org/city/usa/oregon/sisters/","","2017-03-22 08:00:00","-08:00",6.01,73,NA,1,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"69","Sweet Home, Oregon",14,93,44.3958,-122.7305,"http://aqicn.org/city/usa/oregon/sweet-home/","pm25","2017-03-27 09:00:00","-08:00",7.66,93,1020,9,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"70","The Dalles, Oregon",22,94,45.602419,-121.203387,"http://aqicn.org/city/usa/oregon/the-dalles/","pm25","2017-03-27 09:00:00","-08:00",4.15,100,1018,14,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"71","Division St, Aberdeen, Washington",15,96,46.97228,-123.83173,"http://aqicn.org/city/usa/washington/aberdeen/division-st/","pm25","2017-03-27 08:00:00","-07:00",7.15,100,1015,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"72","W 12th Ave, Airway Heights, Washington",15,97,47.64476,-117.58913,"http://aqicn.org/city/usa/washington/airway-heights/w-12th-ave/","pm25","2017-03-27 08:00:00","-07:00",5.4,86,1013,16,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"73","Bartholomew Rd, Anacortes, Washington",6,99,48.4654,-122.56,"http://aqicn.org/city/usa/washington/anacortes/bartholomew-rd/","pm25","2017-03-27 08:00:00","-07:00",5.78,93,1014,NA,NA,NA,6,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"74","Bellevue Way, Bellevue, Washington",11,100,47.61311,-122.20161,"http://aqicn.org/city/usa/washington/bellevue/bellevue-way/","o3","2017-03-27 07:00:00","-07:00",7.25,93,1016,NA,NA,33.4,8,6.3,11.2,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"75","Yew St, Bellingham, Washington",22,101,48.76278,-122.44028,"http://aqicn.org/city/usa/washington/bellingham/yew-st/","o3","2017-03-27 07:00:00","-07:00",7.32,93,1014,8,0.1,6.6,3,0.1,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"76","Spruce Ave, Bremerton, Washington",13,102,47.592675,-122.62739,"http://aqicn.org/city/usa/washington/bremerton/spruce-ave/","pm25","2017-03-27 08:00:00","-07:00",7.15,87,1014,NA,NA,20.4,13,2.4,8.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"77","Cheeka Peak, Washington",37,103,48.29786,-124.62491,"http://aqicn.org/city/usa/washington/cheeka-peak/","o3","2017-03-27 08:00:00","-07:00",-17.8,93,1013,NA,1.5,NA,3,1.3,36.8,4.7,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"78","Market Blvd, Chehalis, Washington",22,104,46.66409,-122.96732,"http://aqicn.org/city/usa/washington/chehalis/market-blvd/","pm25","2017-03-27 01:00:00","-07:00",7.44,100,1012,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"79","13th St, Clarkston, Washington",15,105,46.425416,-117.060445,"http://aqicn.org/city/usa/washington/clarkston/13th-st/","pm25","2017-03-27 04:00:00","-07:00",6.445,89.5,1012,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"80","Greenbluff Rd, Colbert, Washington",25,106,47.8082264,-117.34327,"http://aqicn.org/city/usa/washington/colbert/greenbluff-rd/","pm25","2017-03-27 08:00:00","-07:00",4.82,100,1013,16,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"81","Oak St S, Colville, Washington",42,107,48.54296,-117.90326,"http://aqicn.org/city/usa/washington/colville/oak-st-s/","pm10",NA,"2016-12-05 17:00:00",-3,68,1018,42,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"82","Loomis, Custer, Washington",18,108,48.95074,-122.55441,"http://aqicn.org/city/usa/washington/custer/loomis/","o3","2017-03-27 08:00:00","-07:00",6.62,93,1014,6,0.1,7.7,4,0.1,17.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"83","Fir St, Darrington, Washington",10,109,48.2468,-121.6031,"http://aqicn.org/city/usa/washington/darrington/fir-st/","pm25","2017-03-27 08:00:00","-07:00",4,93,1017,NA,NA,NA,10,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"84","W Main St, Dayton, Washington",6,110,46.318,-117.985,"http://aqicn.org/city/usa/washington/dayton/w-main-st/","pm25","2017-03-27 08:00:00","-07:00",7.15,81,1016,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"85","Ruby St, Ellensburg, Washington",19,111,46.99364,-120.545,"http://aqicn.org/city/usa/washington/ellensburg/ruby-st/","pm25","2017-03-27 08:00:00","-07:00",2.83,80.5,1014.5,0.7,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"86","Harrah N Harrah Rd, Washington",21,112,46.4085229,-120.5441734,"http://aqicn.org/city/usa/washington/harrah-n-harrah-rd/","pm10",NA,"2016-12-05 17:00:00",4,81,969,21,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"87","Metaline, Kennewick, Washington",7,113,46.21835,-119.20152,"http://aqicn.org/city/usa/washington/kennewick/metaline/","pm25","2017-03-27 08:00:00","-07:00",9.2,86,1016,5,NA,NA,7,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"88","Central and James, Kent, Washington",8,114,47.38614,-122.23195,"http://aqicn.org/city/usa/washington/kent/central-and-james/","pm25","2017-03-27 08:00:00","-07:00",7.15,93,1017,NA,NA,20.4,8,2.4,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"89","College St, Lacey, Washington",8,115,47.02938,-122.82161,"http://aqicn.org/city/usa/washington/lacey/college-st/","pm25","2017-03-27 08:00:00","-07:00",7.14,87,1017,NA,NA,NA,8,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"90","Hill St, LaCrosse, Washington",9,116,46.8153,-117.8739,"http://aqicn.org/city/usa/washington/lacrosse/hill-st/","pm25","2017-03-27 08:00:00","-07:00",3.13,100,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"91","Evans St, Leavenworth, Washington",15,118,47.59886,-120.6647,"http://aqicn.org/city/usa/washington/leavenworth/evans-st/","pm25","2017-03-27 06:00:00","-07:00",0.73,93,1013,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"92","30th Ave, Longview, Washington",7,120,46.139443,-122.961944,"http://aqicn.org/city/usa/washington/longview/30th-ave/","pm25","2017-03-27 08:00:00","-07:00",7.6,87,1018,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"93","212 (ULT), Lynnwood, Washington",9,121,47.8064,-122.3167,"http://aqicn.org/city/usa/washington/lynnwood/212-ult/","pm25","2017-03-27 07:00:00","-07:00",7.14,93,1015,NA,NA,33.4,9,2.4,8.8,1.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"94"," Azure Way, Maple Falls , Washington",8,122,48.9477,-122.1471,"http://aqicn.org/city/usa/washington/maple-falls/azure-way/","pm10","2017-03-27 07:00:00","-07:00",7.32,93,1014,8,0.1,6.6,1,0.1,6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"95","7th Ave, Marysville, Washington",25,123,48.054315,-122.171529,"http://aqicn.org/city/usa/washington/marysville/7th-ave/","o3","2017-03-27 07:00:00","-07:00",8.8,93,1016,NA,NA,NA,10,2.4,24.8,3.2,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"96","Pepiot Way, Mesa, Washington",11,124,46.5754,-119.0021,"http://aqicn.org/city/usa/washington/mesa/pepiot-way/","pm25","2017-03-27 08:00:00","-07:00",3.11,93,968.93,5,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"97","Balsam St, Moses Lake, Washington",25,125,47.1303,-119.2737,"http://aqicn.org/city/usa/washington/moses-lake/balsam-st/","pm25","2017-03-27 07:00:00","-07:00",2.06,93,968.93,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
