"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","t","h","p","pm10","so2","no2","pm25","co","o3","w","r","wd","d","uvi","pol","mepaqi","pm1","time_estern"
"6127","Jefferson School, Davenport, Iowa",60,6913,41.530011,-90.587611,"http://aqicn.org/city/usa/iowa/davenport/jefferson-school/","pm25","2017-03-27 12:00:00","-06:00",10,88.2,1014,NA,0.2,5.6,60,2.5,9.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6128","Lake Sugema, Iowa",16,6914,40.693298,-92.006104,"http://aqicn.org/city/usa/iowa/lake-sugema/","o3","2017-03-27 12:00:00","-06:00",9.2,92.5,998.92,NA,0.2,1.9,5,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6129","Linwood Mining, Buffalo, Iowa",41,6915,41.467236,-90.688451,"http://aqicn.org/city/usa/iowa/buffalo/linwood-mining/","pm10","2017-03-27 12:00:00","-06:00",10,76,1013,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6130","Chancy Park, Clinton, Iowa",55,6916,41.823101,-90.211899,"http://aqicn.org/city/usa/iowa/clinton/chancy-park/","pm25","2017-03-27 12:00:00","-06:00",7.9,82.3,1014,NA,0.3,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6131","Rainbow Park, Clinton, Iowa",35,6917,41.875,-90.177498,"http://aqicn.org/city/usa/iowa/clinton/rainbow-park/","pm25","2017-03-27 12:00:00","-06:00",10.2,90,1014,NA,NA,NA,35,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6132","Hayes School, Davenport, Iowa",60,6918,41.512032,-90.624016,"http://aqicn.org/city/usa/iowa/davenport/hayes-school/","pm25","2017-03-27 12:00:00","-06:00",10.4,84,1014,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6133","Emmetsburg, Iowa",41,6919,43.123704,-94.693518,"http://aqicn.org/city/usa/iowa/emmetsburg/","pm25","2017-03-27 12:00:00","-06:00",9.2,81,1015,NA,NA,NA,41,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6134","Hoover School, Iowa City, Iowa",45,6920,41.658195,-91.503471,"http://aqicn.org/city/usa/iowa/iowa-city/hoover-school/","pm25","2017-03-27 12:00:00","-06:00",9.9,87,1014,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6135","High School E Campus, Muscatine, Iowa",58,6921,41.400968,-91.067957,"http://aqicn.org/city/usa/iowa/muscatine/high-school-e-campus/","pm25","2017-03-27 12:00:00","-06:00",10,85,1013,NA,1.5,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6136","Viking Lake, Iowa",23,6922,40.970001,-95.044998,"http://aqicn.org/city/usa/iowa/viking-lake/","o3","2017-03-27 12:00:00","-06:00",7.9,89.5,984.25,NA,NA,NA,9,NA,23.3,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6137","Water Tower, Waterloo, Iowa",34,6923,42.5014,-92.315804,"http://aqicn.org/city/usa/iowa/waterloo/water-tower/","pm25","2017-03-27 12:00:00","-06:00",7.9,81,1014,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6138","Carpenter, Des Moines, Iowa",42,6924,41.603056,-93.643056,"http://aqicn.org/city/usa/iowa/des-moines/carpenter/","pm25","2017-03-27 12:00:00","-06:00",8.27,81,1015,NA,NA,NA,42,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
"6139","Mihara, Hakodate, Hokkaido Prefecture",5,6925,41.8190221,140.7468902,"http://aqicn.org/city/japan/hakodateshi/kamedachugakko/","pm25","2017-03-28 03:00:00","+09:00",-0.99,100,1018.78,NA,NA,NA,5,NA,22.4,0.6,NA,NA,NA,NA,NA,NA,NA,2017-03-27 17:10:11
