"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","pm25","o3","no2","co","so2","pm10","h","t","w","wd","d","p","r","uvi","pol","mepaqi","pm1","time_estern","time_estern"
"636","Háojiāngzi, Shantou",132,3481,23.2775,116.7258,"http://aqicn.org/city/china/shantou/haojiangzizhan/","pm25","2017-03-29 08:00:00","+08:00",132,39.8,10.1,9.1,6.1,52,73,22,0.9,50,17,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"637","Jīnpíngzi, Shantou",154,3482,23.3667,116.6794,"http://aqicn.org/city/china/shantou/jinpingzizhan/","pm25","2017-03-29 09:00:00","+08:00",154,31.7,20.6,14.5,7.1,68,73,22,0.9,50,17,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"638","Jīnpíngzi, Shantou",154,4255,23.3667,116.6794,"http://aqicn.org/city/guangdong/shantou/jinpingzizhan/","pm25","2017-03-29 09:00:00","+08:00",154,31.7,20.6,14.5,7.1,68,73,22.15,NA,NA,NA,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"639","Chénghǎizi, Shantou",153,4258,23.4714,116.7519,"http://aqicn.org/city/guangdong/shantou/chenghaizizhan/","pm25","2017-03-29 09:00:00","+08:00",153,37.4,12.4,10,9.7,65,73,22.15,NA,NA,NA,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"640","Chénghǎizi, Shantou",158,3484,23.4714,116.7519,"http://aqicn.org/city/china/shantou/chenghaizizhan/","pm25","2017-03-29 08:00:00","+08:00",158,31.7,13.3,9.1,9.2,67,73,22,0.9,50,17,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"641","Cháoyángzi, Shantou",152,3485,23.2539,116.6092,"http://aqicn.org/city/china/shantou/chaoyangzizhan/","pm25","2017-03-29 09:00:00","+08:00",152,30.1,21.1,9.1,10.7,101,73,22,0.9,50,17,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"642","Cháoyángzi, Shantou",170,4259,23.2539,116.6092,"http://aqicn.org/city/guangdong/shantou/chaoyangzizhan/","pm25","2017-03-29 08:00:00","+08:00",170,10.6,33,9.3,10.7,103,73,22.15,NA,NA,NA,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"643","Lónghúzi, Shantou",112,3486,23.3633,116.7244,"http://aqicn.org/city/china/shantou/longhuzizhan/","pm25","2017-03-29 09:00:00","+08:00",112,38.6,15.1,10.9,6.1,60,73,22,0.9,50,17,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"644","Lónghúzi, Shantou",112,4256,23.3633,116.7244,"http://aqicn.org/city/guangdong/shantou/longhuzizhan/","pm25","2017-03-29 09:00:00","+08:00",112,38.6,15.1,10.9,6.1,60,73,22.15,NA,NA,NA,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"645","Bìhú shānzhuāng, Shaoguan",97,3487,24.81119444,113.5593889,"http://aqicn.org/city/china/shaoguan/bihushanzhuang/","pm25","2017-03-29 08:00:00","+08:00",97,28.1,8.3,8.2,5.1,39,96,16,0.9,200,16,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"646","Bìhú shānzhuāng, Shaoguan",99,4251,24.8108,113.5397,"http://aqicn.org/city/guangdong/shaoguan/bihushanzhuang/","pm25","2017-03-29 09:00:00","+08:00",99,31.3,8.7,8.2,5.6,32,100,16.6,NA,NA,NA,989.35,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"647","No.8 middle school, Shaoguan",107,3488,24.769519,113.586606,"http://aqicn.org/city/china/shaoguan/shibazhong/","pm25","2017-03-29 09:00:00","+08:00",107,23.2,17.4,10.9,7.1,42,96,16,0.9,200,16,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"648","No.8 middle school, Shaoguan",107,4250,24.7708,113.5783,"http://aqicn.org/city/guangdong/shaoguan/shibazhong/","pm25","2017-03-29 09:00:00","+08:00",107,23.2,17.4,11.1,7.1,42,100,15.5,NA,NA,NA,988.73,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"649","Forest area, Shaoguan",95,3489,24.795928,113.598061,"http://aqicn.org/city/china/shaoguan/yuanlinchu/","pm25","2017-03-29 09:00:00","+08:00",95,23.2,15.1,10,5.1,30,96,16,0.9,200,16,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"650","Forest area, Shaoguan",95,4252,24.7992,113.6081,"http://aqicn.org/city/guangdong/shaoguan/yuanlinchu/","pm25","2017-03-29 09:00:00","+08:00",95,23.2,15.1,10,5.1,30,100,15.5,NA,NA,NA,988.73,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"651","Qujiang Monitoring Station, Shaoguan",139,3490,24.68636111,113.5970833,"http://aqicn.org/city/china/shaoguan/qujiangjiancezhan/","pm25","2017-03-29 08:00:00","+08:00",139,17.1,19.7,9.1,6.1,58,96,16,0.9,200,16,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"652","Qujiang Monitoring Station, Shaoguan",142,4254,24.6861,113.5964,"http://aqicn.org/city/guangdong/shaoguan/qujiangjiancezhan/","pm25","2017-03-29 09:00:00","+08:00",142,17.5,20.6,10.9,7.1,66,100,16.6,NA,NA,NA,989.35,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"653","Shaoguan University, Shaoguan",112,3491,24.77908333,113.6734722,"http://aqicn.org/city/china/shaoguan/shaoguanxueyuan/","pm25","2017-03-29 09:00:00","+08:00",112,24.4,7.4,7.3,8.2,50,96,16,0.9,200,16,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"654","Shaoguan University, Shaoguan",112,4253,24.7939,113.6414,"http://aqicn.org/city/guangdong/shaoguan/shaoguanxueyuan/","pm25","2017-03-29 09:00:00","+08:00",112,24.4,7.4,7.5,8.2,56,100,15.5,NA,NA,NA,988.73,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"655","Bearing Factory, Dandong",NA,3492,40.0625,124.3303,"http://aqicn.org/city/china/dandong/zhouchengchang/","","","+0800",NA,NA,NA,NA,NA,NA,43,22,3.1,200,12,1010,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"656","Financial school, Dandong",NA,3493,40.1503,124.4256,"http://aqicn.org/city/china/dandong/caizhuan/","","","+0800",NA,NA,NA,NA,NA,NA,43,22,3.1,200,12,1010,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"657","Yuanbaoshan water, Dandong",NA,3494,40.1461,124.3933,"http://aqicn.org/city/china/dandong/yuanbaoshanshuichang/","","","+0800",NA,NA,NA,NA,NA,NA,43,22,3.1,200,12,1010,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"658","Experimental Primary School, Dandong",NA,3495,40.1194,124.3678,"http://aqicn.org/city/china/dandong/shiyanxiaoxue/","","","+0800",NA,NA,NA,NA,NA,NA,43,22,3.1,200,12,1010,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"659","BDA, Panjin",171,3496,41.1556,122.0247,"http://aqicn.org/city/china/panjin/kaifaqu/","pm25","2017-03-29 09:00:00","+08:00",171,26.9,13.3,10,10.7,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"660","Xinglongtai, Panjin",168,3497,41.0903,122.0539,"http://aqicn.org/city/china/panjin/xinglongtai/","pm25","2017-03-29 09:00:00","+08:00",168,27.3,7.4,9.1,11.2,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"661","Dingxiang, Panjin",NA,3498,41.1042,121.835,"http://aqicn.org/city/china/panjin/dingxiang/","","","+0800",NA,NA,NA,NA,NA,NA,34,29,6.3,199,11,0,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"662","No.3 water company, Yingkou",NA,3499,40.6511,122.215,"http://aqicn.org/city/china/yingkou/sanshuichang/","","","+0800",NA,NA,NA,NA,NA,NA,44,23,7.2,200,13,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"663","Xi pàotái, Yingkou",156,3500,40.6789,122.1658,"http://aqicn.org/city/china/yingkou/xipaotai/","pm25","2017-03-29 09:00:00","+08:00",156,36.6,6,6.4,6.1,65,68,6,7.2,200,3,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"664","Yingkou University, Yingkou",NA,3501,40.6592,122.2414,"http://aqicn.org/city/china/yingkou/yingkoudaxue/","","","+0800",NA,NA,NA,NA,NA,NA,44,23,7.2,200,13,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"665","Botanical garden, Yingkou",NA,3502,40.7094,122.2703,"http://aqicn.org/city/china/yingkou/zhiwuyuan/","","","+0800",NA,NA,NA,NA,NA,NA,44,23,7.2,200,13,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"666","Xishanpo, Huludao",NA,3503,40.7136,120.9092,"http://aqicn.org/city/china/huludao/huludaoshixishanpo/","","","+0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"667","Huagong hospital, Huludao",NA,3504,40.7514,120.8392,"http://aqicn.org/city/china/huludao/huagongyiyuan/","","","+0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"668","New district park, Huludao",NA,3505,40.715,120.8478,"http://aqicn.org/city/china/huludao/xinqugongyuan/","","","+0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"669","Lianshan district governement, Huludao",NA,3506,40.7736,120.8631,"http://aqicn.org/city/china/huludao/lianshanquzhengfu/","","","+0800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"670","Environment protection office, Qingyuan",NA,3507,23.6936,113.0425,"http://aqicn.org/city/china/qingyuan/huanbaoju/","","","+0800",NA,NA,NA,NA,NA,NA,79,30,0.9,0,26,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"671","Fengcheng Subdistrict, Qingyuan",72,3508,23.7106,113.0208,"http://aqicn.org/city/china/qingyuan/fengchengjieban/","pm25","2017-03-29 09:00:00","+08:00",72,11.4,28.8,13.6,2.6,33,88,21,3.1,110,19,1018,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"672","Fupin district, Qingyuan",44,4280,23.6272,113.0622,"http://aqicn.org/city/guangdong/qingyuan/fupinqu/","o3",NA,"2016-12-22 15:00:00",38,44,11,13,4,20,46,23,NA,NA,NA,1017,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"673","Fupin district, Qingyuan",NA,3509,23.6272,113.0622,"http://aqicn.org/city/china/qingyuan/fupinqu/","","","+0800",NA,NA,NA,NA,NA,NA,79,30,0.9,0,26,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"674","City water company, Heyuan",NA,3510,23.7569,114.6778,"http://aqicn.org/city/china/heyuan/shizilaishuichang/","","","+0800",NA,NA,NA,NA,NA,NA,66,30,0.9,0,24,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"675","No.3 elementary school, Heyuan",NA,3511,23.7586,114.6944,"http://aqicn.org/city/china/heyuan/shisanxiao/","","","+0800",NA,NA,NA,NA,NA,NA,66,30,0.9,0,24,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"676","Heyuan high school, Heyuan",NA,3512,23.7233,114.6892,"http://aqicn.org/city/china/heyuan/heyuanzhongxue/","","","+0800",NA,NA,NA,NA,NA,NA,66,30,0.9,0,24,1007,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"677","Heyuan",151,3513,23.743538,114.700447,"http://aqicn.org/city/heyuan/","pm25","2017-03-29 09:00:00","+08:00",151,25.2,19.7,10,4.1,52,100,17.8,NA,NA,NA,999.35,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"678","Qingyuan",72,3514,23.681764,113.056031,"http://aqicn.org/city/qingyuan/","pm25","2017-03-29 09:00:00","+08:00",72,33.3,28.8,13.6,2.6,33,94,20.15,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"679","No.8 middle school, Changzhi",198,3515,36.1855,113.0844444,"http://aqicn.org/city/china/changzhi/changzhibazhong/","pm25","2017-03-29 09:00:00","+08:00",198,13,27.5,30.8,53.3,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"680","Water Company, Jincheng",212,3516,35.5051,112.85,"http://aqicn.org/city/china/jincheng/zilaishuigongsi/","pm25","2017-03-29 09:00:00","+08:00",212,8.2,29.3,25.3,34,158,77,4,0.9,140,1,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"681","Baiyun shopping mall, Jincheng",265,3517,35.4934,112.835,"http://aqicn.org/city/china/jincheng/baiyunshangmao/","pm25","2017-03-29 09:00:00","+08:00",265,8.2,31.6,30.8,34,177,77,4,0.9,140,1,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"682","City EPA, Jincheng",193,3518,35.4883,112.8564,"http://aqicn.org/city/china/jincheng/shihuanbaoju/","pm25","2017-03-29 09:00:00","+08:00",193,8.6,31.1,22.6,36.5,144,77,4,0.9,140,1,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"683","Institute of Technology, Jincheng",200,3519,35.4894,112.8664,"http://aqicn.org/city/china/jincheng/jishuxueyuan/","pm25","2017-03-29 09:00:00","+08:00",200,9,25.2,22.6,28.9,138,77,4,0.9,140,1,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"684","No.1 middle school, Jincheng",237,3520,35.4813,112.8252,"http://aqicn.org/city/china/jincheng/zezhouyizhong/","pm25","2017-03-29 09:00:00","+08:00",237,8.2,31.1,25.3,35,169,77,4,0.9,140,1,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"685","Pingshuo, Shuozhou",NA,3521,39.5166917,112.3048622,"http://aqicn.org/city/china/shuozhou/ping-shuo/","","2016-01-06 16:00:00","+0800",82,NA,8.3,4.3,20.8,55,12,-4,4.9,40,-22,1036,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"686","District Government, Shuozhou",200,3523,39.3179,112.4254,"http://aqicn.org/city/china/shuozhou/quzhengfu/","pm25","2017-03-29 09:00:00","+08:00",200,19.1,13.3,18.1,55.9,138,55,4,0.9,180,-2,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"687","City EPA, Shuozhou",214,3524,39.3265,112.4078,"http://aqicn.org/city/china/shuozhou/shihuanbaoju/","pm25","2017-03-29 09:00:00","+08:00",214,13.9,27,21.7,60.3,70,55,4,0.9,180,-2,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"688","No.2 middle school, Shuozhou",178,3525,39.3673,112.4279,"http://aqicn.org/city/china/shuozhou/shierzhong/","pm25","2017-03-29 09:00:00","+08:00",178,4.9,37.1,26.2,53.3,107,55,4,0.9,180,-2,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"689","Jinlun compound, Jinzhong",119,3526,37.7019,112.7549,"http://aqicn.org/city/china/jinzhong/jinlunxiaoqu/","pm25","2017-03-29 09:00:00","+08:00",119,14.7,14.2,8.2,26.4,63,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"690","Hydraulic Component Factory, Jinzhong",NA,3527,37.790269,112.605406,"http://aqicn.org/city/china/jinzhong/yeyajianchang/","","2016-04-12 13:00:00","+0800",161,NA,18.3,13.9,14.2,91,NA,NA,1.8,240,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"691","Nandu compound, Jinzhong",142,3528,37.7111,112.7306,"http://aqicn.org/city/china/jinzhong/nanduxiaoqu/","pm25","2017-03-29 09:00:00","+08:00",142,8.2,32.5,16.3,62.3,79,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"692","Yuci district government, Jinzhong",155,3529,37.7087,112.7105,"http://aqicn.org/city/china/jinzhong/yuciquzhengfu/","pm25","2017-03-29 09:00:00","+08:00",155,9,28.8,18.1,64.4,94,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"693","Yuncheng Middle School, Yuncheng",174,3530,35.0147,110.9956,"http://aqicn.org/city/china/yuncheng/yunchengzhongxue/","pm25","2017-03-29 09:00:00","+08:00",174,37.8,14.7,10,17.3,94,47,10,4,40,3,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"694","Yudou BDA, Yuncheng",165,3531,35.0611,111.0233,"http://aqicn.org/city/china/yuncheng/yudukaifaqu/","pm25","2017-03-29 09:00:00","+08:00",165,27.7,17.4,12.7,50.3,92,47,10,4,40,3,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"695","Yuncheng college, Yuncheng",NA,3532,35.0394,111.0397,"http://aqicn.org/city/china/yuncheng/yunchengxueyuan/","","2015-06-19 10:00:00","+0800",190,44,9.2,12.3,2.1,95,26,33,1.8,250,16,1002,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"696","Regional Technical School, Yuncheng",171,3533,35.0308,110.9678,"http://aqicn.org/city/china/yuncheng/diqujixiao/","pm25","2017-03-29 09:00:00","+08:00",171,27.7,22,17.2,39.1,95,47,10,4,40,3,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"697","Airport new district, Yuncheng",165,3534,35.1147,111.0414,"http://aqicn.org/city/china/yuncheng/konggangxinqu/","pm25","2017-03-29 09:00:00","+08:00",165,26.4,31.1,16.3,23.4,107,47,10,4,40,3,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"698","Jiyin, Xinzhou",169,3535,38.4186,112.7356,"http://aqicn.org/city/china/xinzhou/jiyin/","pm25","2017-03-29 09:00:00","+08:00",169,9.4,27.9,15.4,50.1,75,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"699","BDA, Xinzhou",117,3536,38.4519,112.7383,"http://aqicn.org/city/china/xinzhou/kaifaqu/","pm25","2017-03-29 09:00:00","+08:00",117,14.3,13.3,9.1,56.5,66,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"700","Convention Center, Xinzhou",NA,3537,38.4928,112.7003,"http://aqicn.org/city/china/xinzhou/huizhanzhongxin/","so2","2017-03-29 09:00:00","+08:00",174,7.4,29.3,10.9,58.3,56,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"701","City EPA, Luliang",NA,3538,37.2808329,111.7806512,"http://aqicn.org/city/china/lvliang/shihuanbaoju/","","2016-07-15 12:00:00","+0800",104,NA,8.3,13.3,7.1,40,48,27,4.9,250,18,998,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"702","Soybean factory, Luliang",NA,3539,37.5333,111.1283,"http://aqicn.org/city/china/lvliang/douzhipinchang/","","2016-07-15 16:00:00","+0800",129,NA,12.8,19.7,11.2,10,61,21,1.8,20,15,1000,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"703","Water Company, Luliang",154,3540,37.5136,111.1297,"http://aqicn.org/city/china/lvliang/zilaishuigongsi/","pm25","2017-03-29 09:00:00","+08:00",154,9,15.1,16.3,25.4,104,45,4,1.8,40,-3,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"704","Jincheng",265,3541,35.490702,112.851831,"http://aqicn.org/city/jincheng/","pm25","2017-03-29 09:00:00","+08:00",265,9,31.6,30.8,36.5,177,77,4,0.9,140,1,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"705","Shuozhou",214,3542,39.331595,112.432825,"http://aqicn.org/city/shuozhou/","pm25","2017-03-29 09:00:00","+08:00",214,19.1,27,21.7,60.3,138,55,4,0.9,180,-2,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"706","Jinzhong",155,3543,37.687024,112.752695,"http://aqicn.org/city/jinzhong/","pm25","2017-03-29 09:00:00","+08:00",155,14.7,32.5,18.1,64.4,94,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"707","Yuncheng",174,3544,35.026412,111.007529,"http://aqicn.org/city/yuncheng/","pm25","2017-03-29 09:00:00","+08:00",174,37.8,22,17.2,50.3,95,47,10,4,40,3,1020,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"708","Xinzhou",169,3545,38.416663,112.734174,"http://aqicn.org/city/xinzhou/","pm25","2017-03-29 09:00:00","+08:00",169,14.3,29.3,15.4,58.3,75,50,9,0.9,130,-1,1021,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"709","Luliang",154,3546,37.518314,111.144319,"http://aqicn.org/city/luliang/","pm25","2017-03-29 09:00:00","+08:00",154,9,15.1,16.3,25.4,104,45,4,1.8,40,-3,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"710","Ceboruco, Toluca",57,3547,19.260413888889,-99.645613888889,"http://aqicn.org/city/mexico/toluca/ceboruco/","pm25","2017-03-28 16:00:00","-06:00",57,43.2,15.8,4.2,4.3,54,19.48,23.25,2.59,258.9,NA,559,0.16,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"711","Celaya Tecnologico, Celaya",68,3548,20.545063053667,-100.80731449742,"http://aqicn.org/city/mexico/celaya/celaya-tecnologico/","pm10","2017-03-28 20:00:00","-06:00",58,38.4,5.1,10.1,5.4,68,9,25.15,4.7,172.2,NA,1019,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"712","Ventanas",35,3550,-32.77898790221,-71.373031276855,"http://aqicn.org/city/chile/ventanas/","pm25","2017-03-28 21:00:00","-03:00",35,9.3,5.1,5,3.5,35,72.5,18.325,NA,NA,NA,1015.5,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"713","Palmer, Mat-su, Alaska",31,3551,61.599,-149.104,"http://aqicn.org/city/usa/alaska/mat-su/palmer/","o3","2017-03-28 17:00:00","-09:00",5,30.7,NA,NA,NA,2,93,0.55,NA,NA,NA,996,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"714","Garden, Anchorage, Alaska",21,3554,61.205861,-149.8246,"http://aqicn.org/city/usa/alaska/anchorage/garden/","pm25","2017-03-28 17:00:00","-09:00",21,NA,NA,10,NA,8,97,0.6,NA,NA,NA,997,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"715","Parkgate, Anchorage, Alaska",21,3555,61.3267,-149.569707,"http://aqicn.org/city/usa/alaska/anchorage/parkgate/","pm25","2017-03-28 17:00:00","-09:00",21,NA,NA,NA,NA,6,97,0.6,NA,NA,NA,997,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"716","Brigantine, NewJersey",16,3556,39.464872,-74.448736,"http://aqicn.org/city/usa/newjersey/brigantine/","o3","2017-03-28 20:00:00","-05:00",NA,16,NA,NA,1.5,NA,93,10.11,NA,NA,NA,1011,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"717","Columbia, NewJersey",13,3557,40.924607,-75.067825,"http://aqicn.org/city/usa/newjersey/columbia/","pm25","2017-03-28 20:00:00","-05:00",13,0.8,0.1,NA,1.5,NA,93,7.55,0.4,278,NA,1014,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"718","Elizabeth Trailer, NewJersey",52,3558,40.64144,-74.20836,"http://aqicn.org/city/usa/newjersey/elizabeth-trailer/","pm25","2017-03-28 20:00:00","-05:00",52,16.8,0.1,1.2,1.5,NA,100,6.69,2.5,80,NA,1013,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"719","Ewing, NewJersey",NA,3559,40.2695719486529,-74.8045349121094,"http://aqicn.org/city/usa/newjersey/ewing/","","2016-01-14 21:00:00","-0500",26,1,NA,NA,NA,NA,89,-2.755,NA,NA,NA,1013,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"720","Jersey City FH, NewJersey",35,3560,40.72545,-74.05229,"http://aqicn.org/city/usa/newjersey/jersey-city-fh/","pm25","2017-03-28 20:00:00","-05:00",35,16.8,0.1,4.5,0.1,NA,100,6.69,NA,NA,NA,1013,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"721","Millville, NewJersey",32,3561,39.42227,-75.0252,"http://aqicn.org/city/usa/newjersey/millville/","pm25","2017-03-28 20:00:00","-05:00",32,0.8,0.1,NA,NA,NA,100,11.52,NA,NA,NA,1011.5,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"722","Newark Firehouse, NewJersey",17,3562,40.72102,-74.1928,"http://aqicn.org/city/usa/newjersey/newark-firehouse/","pm25","2017-03-28 20:00:00","-05:00",17,16,14.9,3.4,1.5,NA,100,6.69,2.2,56,NA,1013,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"723","New Brunswick, NewJersey",NA,3563,40.47279,-74.42251,"http://aqicn.org/city/usa/newjersey/new-brunswick/","","2015-09-24 01:00:00","-0500",NA,6,0.1,NA,NA,NA,84,11.965,1.26,NA,NA,1024,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"724","Rahway PM, NewJersey",23,3564,40.6041,-74.27517,"http://aqicn.org/city/usa/newjersey/rahway-pm/","pm25","2017-03-28 20:00:00","-05:00",23,16,0.1,1.2,0.1,NA,93,6.44,NA,NA,NA,1014,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"725","South Camden, NewJersey",NA,3565,39.923969,-75.122317,"http://aqicn.org/city/usa/newjersey/south-camden/","","2016-02-21 01:00:00","-0500",NA,19,0.1,2.3,NA,NA,82,10.97,NA,NA,NA,1024.77,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"726","Boston North End",20,3566,42.3631,-71.0542,"http://aqicn.org/city/usa/massachusett/boston/north-end/","o3","2017-03-28 19:00:00","-05:00",25,20,20.4,NA,0.3,NA,100,4.12,NA,NA,NA,1015,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"727","Milton Blue Hill Observatory",35,3567,42.211674,-71.113864,"http://aqicn.org/city/usa/massachusett/milton/blue-hill-observatory/","o3","2017-03-28 20:00:00","-05:00",NA,35.2,1.9,NA,NA,NA,95,3,1.4,NA,NA,1015,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"728","Brockton",31,3568,42.065119,-71.012686,"http://aqicn.org/city/usa/massachusett/brockton/","o3","2017-03-28 20:00:00","-05:00",5,31.2,NA,NA,NA,NA,100,4.12,NA,NA,NA,1015,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"729","Fall River",29,3569,41.683279,-71.169171,"http://aqicn.org/city/usa/massachusett/fall-river/","o3","2017-03-28 20:00:00","-05:00",5,28.9,NA,NA,1,NA,100,4.12,NA,NA,NA,1015,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"730","Haverhill Consentino School",24,3570,42.77077,-71.102259,"http://aqicn.org/city/usa/massachusett/haverhill/consentino-school/","o3","2017-03-28 20:00:00","-05:00",13,24.1,NA,NA,NA,NA,90,3,0.6,NA,NA,1016,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"731","Lynn Water Treatment Plant",29,3571,42.474671,-70.971358,"http://aqicn.org/city/usa/massachusett/lynn/water-treatment-plant/","o3","2017-03-28 20:00:00","-05:00",5,28.9,4.7,1.7,NA,NA,89,3,1.2,NA,NA,1015,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
