"","name","aqi","idx","lat","lon","url","dominentpol","time","tz","pm25","o3","no2","co","so2","pm10","h","t","w","wd","d","p","r","uvi","pol","mepaqi","pm1","time_estern","time_estern"
"19","4, Floridsdorf, Gerichtsgasse 1a, Gstr.Nr. 438",NA,2849,48.261086388889,16.396953055556,"http://aqicn.org/city/austria/floridsdorf--gerichtsgasse-1a--gstr.nr.-438/4/","","","+0100",NA,NA,NA,NA,NA,NA,77,16.39,10.3,NA,NA,1016,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"20","Kendlerstraße 40 (Umspannwerk)",59,2850,48.205,16.30975,"http://aqicn.org/city/austria/kendlerstrasse-40-umspannwerk/","pm25","2017-03-29 02:00:00","+01:00",59,NA,7.4,NA,NA,20,57,10.68,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"21","4, Josef Redl Gasse 2, Gstr.Nr. 698",NA,2851,48.235369722222,16.301563611111,"http://aqicn.org/city/austria/josef-redl-gasse-2--gstr.nr.-698/4/","","","+0100",NA,NA,NA,NA,NA,NA,77,16.39,10.3,NA,NA,1016,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"22","Danubiastraße, Brücke A4 (bis  11.10.2006 Freizeitgelände)",NA,2852,48.145,16.511111111111,"http://aqicn.org/city/austria/danubiastrasse--brucke-a4-bis--11.10.2006-freizeitgelande/","","","+0100",NA,NA,NA,NA,NA,NA,72,16.47,11.8,NA,NA,1014,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"23","Noßbergerstraße, hinter Museumstraße 34a",50,2853,48.3061194444444,14.2975027777778,"http://aqicn.org/city/austria/nossbergerstrasse--hinter-museumstrasse-34a/","pm25","2017-03-29 02:00:00","+01:00",50,NA,14.2,NA,NA,16,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"24","1, An den Steinfeldern 3 (Umspannwerk), Gstr. Nr. 308",NA,2854,48.1376191666667,16.2953641666667,"http://aqicn.org/city/austria/an-den-steinfeldern-3-umspannwerk--gstr.-nr.-308/1/","","2015-01-12 13:00:00","+0100",NA,NA,6,NA,NA,3,64,6.04,0.6,NA,NA,1020.41,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"25","1, Hausgrundweg 23, Gstr. 254",57,2855,48.2263608333333,16.458345,"http://aqicn.org/city/austria/hausgrundweg-23--gstr.-254/1/","pm25","2017-03-29 02:00:00","+01:00",57,NA,8.7,NA,2.6,24,63,7.14,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"26","Ental 4, Autobahn A1, Abfahrt B309, Eckmayer-Mühle",61,2856,48.2094444444445,14.4369444444444,"http://aqicn.org/city/austria/ental-4--autobahn-a1--abfahrt-b309--eckmayer-muhle/","pm25","2017-03-29 02:00:00","+01:00",61,NA,25.6,0.1,NA,24,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"27","Umspannwerk Gaudenzdorfer Gürtel",22,2857,16.3393311111111,48.1871469444444,"http://aqicn.org/city/austria/umspannwerk-gaudenzdorfer-gurtel/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,8.3,NA,NA,22,57,10.68,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"28","Tulpenstraße 23, 180 m von Autobahn A1",NA,2858,48.2148888888889,14.4217222222222,"http://aqicn.org/city/austria/tulpenstrasse-23--180-m-von-autobahn-a1/","","2016-05-24 07:00:00","+0100",9,NA,16,0.1,NA,1,87,11.46,NA,NA,NA,1011,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"29","Rudolfsplatz (Grünfläche in der Mitte)",40,2859,47.7975,13.0536111111111,"http://aqicn.org/city/austria/rudolfsplatz-grunflache-in-der-mitte/","pm10","2017-03-28 22:00:00","+01:00",NA,NA,28.8,0.1,NA,40,66,9.15,NA,NA,NA,973.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"30","Ecke Taborstraße - Glockengasse",57,2860,48.2167394444444,16.3809180555556,"http://aqicn.org/city/austria/ecke-taborstrasse-glockengasse/","pm25","2017-03-29 02:00:00","+01:00",57,NA,8.3,0.1,NA,21,80,6.76,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"31","Europaplatz",27,2861,48.2013,15.6204,"http://aqicn.org/city/austria/europaplatz/","pm10","2017-03-28 21:00:00","+01:00",NA,NA,33,0.1,NA,27,50,12.48,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"32","Kaiserebersdorf, Alberner Straße 8 (Umspannwerk)",NA,2862,16.476050833333,48.156708611111,"http://aqicn.org/city/austria/kaiserebersdorf--alberner-strasse-8-umspannwerk/","","","+0100",NA,NA,NA,NA,NA,NA,77,16.39,10.3,NA,NA,1016,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"33","Dorf an der Enns, Aichberg",NA,2863,48.0844444444444,14.4911111111111,"http://aqicn.org/city/austria/dorf-an-der-enns--aichberg/","","2016-01-06 11:00:00","+0100",NA,NA,NA,NA,NA,55,92,-2.73,NA,NA,NA,1003,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"34","Donaustraße",24,2864,48.35333333,15.74694444,"http://aqicn.org/city/austria/donaustrasse/","pm10","2017-03-28 21:00:00","+01:00",NA,NA,9.6,NA,2.1,24,50,12.48,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"35","Hallein A10, Brücke Almbach",23,2865,47.6911111111111,13.1080555555556,"http://aqicn.org/city/austria/hallein-a10--brucke-almbach/","pm10","2017-03-28 22:00:00","+01:00",NA,NA,27.5,0.1,NA,23,66,9.15,NA,NA,NA,973.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"36","Mühlgasse",17,2866,48.0833333333333,16.3372222222222,"http://aqicn.org/city/austria/muhlgasse/","pm10","2017-03-28 21:00:00","+01:00",NA,NA,39.8,NA,NA,17,50,12.48,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"37","Abfallwirtschaftszentrum",38,2867,48.0838888888889,16.3302777777778,"http://aqicn.org/city/austria/abfallwirtschaftszentrum/","pm25","2017-03-28 20:30:00","+01:00",38,NA,17,NA,NA,23,44,14.16,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"38","Heilhammerweg 54 (nahe VÖEST-Brücke der Autobahn)",50,2868,48.323333,14.2977778,"http://aqicn.org/city/austria/heilhammerweg-54-nahe-voest-brucke-der-autobahn/","pm25","2017-03-29 02:00:00","+01:00",50,NA,12.8,0.1,0.6,14,75,6.15,NA,NA,NA,964.88,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"39","Hirschg., hinter dem Landestheater, Klammstr., Parkplatz B139",NA,2869,48.3027777777778,14.2827777777778,"http://aqicn.org/city/austria/parkplatz-b139/klammstr./hirschg.--hinter-dem-landestheater/","","2015-03-19 10:00:00","+0100",102,NA,24.3,0.1,NA,58,32,10.26,2.1,NA,NA,970.68,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"40","252, Belgradplatz (Südostecke), Gstr.Nr. 816",21,2870,48.1743530555556,16.3614172222222,"http://aqicn.org/city/austria/belgradplatz-sudostecke--gstr.nr.-816/252/","pm10","2017-03-29 02:00:00","+01:00",NA,NA,7.8,NA,NA,21,57,10.68,NA,NA,NA,1023,NA,NA,NA,NA,NA,NA,2017-03-28 23:50:45
"41","Rinnböckstraße 15, Gstr. 1092",NA,2871,48.184144166667,16.406597222222,"http://aqicn.org/city/austria/rinnbockstrasse-15--gstr.-1092/","","","+0100",NA,NA,NA,NA,NA,NA,77,16.39,10.3,NA,NA,1016,0,NA,NA,NA,NA,NA,2017-03-28 23:50:45
